video_path,blink_rate,interval_cv,yaw_variance,pitch_variance,landmark_jitter,face_symmetry_mean,cnn_score,embedding_mean,label
01__exit_phone_room.mp4,10.0,0.0,nan,nan,nan,nan,0.013495008926838636,0.3978800411735262,real
01__hugging_happy.mp4,30.0,0.19,10.908355659031637,43.30783646592611,0.26331081332391865,0.042822525121978185,0.015548956825763785,0.49774043900626047,real
01__kitchen_pan.mp4,40.0,0.642,0.5628715131853971,6.29341489935928,0.003833568065969725,0.009214200214805878,0.004846713040024042,0.5765850245952606,real
01__kitchen_still.mp4,30.0,0.479,3.2128736056209117,0.7202615941535425,0.004700608602848988,0.0006753457884876718,0.003332478542038838,0.6530875861644745,real
01__meeting_serious.mp4,nan,nan,nan,nan,nan,nan,0.0054031489915879706,0.5856572687625885,real
01__outside_talking_pan_laughing.mp4,40.0,0.465,5.459842668442336,10.259281048883063,0.02483027814451394,0.5293578016173033,0.04004350904558253,0.48423794550555094,real
01__outside_talking_still_laughing.mp4,60.0,0.333,0.6715150266270495,0.5381049012202627,0.0022772789465701822,0.7466209516619468,0.05031727423608702,0.5398905958448138,real
01__podium_speech_happy.mp4,40.0,0.686,1.9747752057695178,36.05047863904694,0.00526903151053064,0.6048405556269286,0.015377292459431504,0.491756586091859,real
01__secret_conversation.mp4,nan,nan,nan,nan,nan,nan,0.00417522932236482,0.46086052911622183,real
01__talking_against_wall.mp4,70.0,0.969,0.6020850220319783,0.30995667933713894,0.003207423803804227,0.6679215931716441,0.2946733044726508,0.3698177529232843,real
01__talking_angry_couch.mp4,40.0,1.035,0.2825965634372817,13.600236078323105,0.006153123905454796,0.08960887825680536,0.03804291019748364,0.43087718742234365,real
01__walk_down_hall_angry.mp4,nan,nan,nan,nan,nan,nan,0.01545933251535254,0.3608286189181464,real
01__walking_down_indoor_hall_disgust.mp4,50.0,0.492,0.3888118722553912,0.03366676569705099,0.015850866170600005,0.6168481446788561,0.1281832406031234,0.34827167221478056,real
01__walking_and_outside_surprised.mp4,20.0,0.0,0.8870335958559862,1.0399725810133809,0.011391044354079949,0.783809606627873,0.02027222897491551,0.66423613684518,real
01__walking_outside_cafe_disgusted.mp4,10.0,0.0,0.9404873250359723,5.160576027703834,0.0022024780736430104,0.8865470399490292,0.0040530065598431975,0.4812340885400772,real
01__walking_down_street_outside_angry.mp4,10.0,0.0,nan,nan,nan,nan,0.009011211360172768,0.42317200771399904,real
02__exit_phone_room.mp4,nan,nan,nan,nan,nan,nan,0.012737259684529687,0.3739836599145617,real
02__hugging_happy.mp4,20.0,0.0,16.32158056768907,7.768369914262231,0.19979898568189253,0.05041860739510363,0.018573360950020806,0.44576541015080046,real
02__kitchen_pan.mp4,20.0,0.0,47.593855946240005,0.78086351775806,0.012879406858571585,0.2010616939780018,0.01100472265222509,0.5218750004257474,real
02__kitchen_still.mp4,20.0,0.0,0.5100851548287674,0.60633016527041,0.002047092003645673,0.34132188520033735,0.003128530549085034,0.5361223774296897,real
02__meeting_serious.mp4,nan,nan,nan,nan,nan,nan,0.010915163704859359,0.5550930840628487,real
02__outside_talking_pan_laughing.mp4,30.0,0.186,2.8284982843545046,6.0452096337365635,0.014836078821490873,0.5737486692780173,0.021388267100389515,0.4008764752319881,real
02__outside_talking_still_laughing.mp4,70.0,0.997,3.3198245502206496,0.2369866571029904,0.016544535726809792,0.7024711065151148,0.031419253342651894,0.44732204931122915,real
02__podium_speech_happy.mp4,80.0,0.449,3.278342233781315,10.039469782186353,nan,nan,0.005014867366948498,0.5357168763875961,real
02__secret_conversation.mp4,nan,nan,nan,nan,nan,nan,0.005935916751955769,0.5057670984949384,real
02__talking_against_wall.mp4,80.0,0.495,0.3963902163168805,0.4312497680777989,0.0027491715791622146,0.7251868366048418,0.20400350806968554,0.40231601893901825,real
